State,MLB,NBA,NFL + AFL + AAFC,NHL,Total,
AZ,1,0,0,0,1,
CA,14,17,10,3,44,
CO,0,0,2,2,4,
DC,1,1,5,0,7,
FL,2,3,3,1,9,
GA,1,0,0,0,1,
IL,5,6,11,5,27,
IN,0,0,1,0,1,
LA,0,0,1,0,1,
MA,9,17,4,6,36,
MD,3,1,5,0,9,
MI,4,3,4,11,22,
MN,2,5,0,0,7,
MO,12,1,2,0,15,
NC,0,0,0,1,1,
NJ,0,0,0,3,3,
NY,35,4,13,8,60,
OH,7,0,11,0,18,
OR,0,1,0,0,1,
PA,12,3,10,5,30,
RI,0,0,1,0,1,
TX,0,3,8,1,12,24,
WA,0,1,1,0,1,
WI,1,1,13,0,15,
