Region,Drug Usage,Obesity,Violent Crime,Property Crime
Southern,7.63,30.28,0.4127,3.0948
MidWestern,8.66,30.06,0.3445,2.5603
Northeastern,9.38,26.49,0.3415,1.9603
Western,10.91,24.86,0.3767,2.8852
