State,12+,,"12+
(95% Confidence Interval)",,"12-17
(Estimate)",,"12-17
(95% Confidence Interval)",,,"18-25
(Estimate)",,,"18-25
(95% Confidence Interval)",,,,"26+
(Estimate)",,,"26+
(95% Confidence Interval)",,,,
New York,9.73,(8.85 - 10.69),,,9.37,,(8.29 - 10.57),,,23.56,,,,(21.79 - 25.43),,,,7.34,,(6.33 - 8.49),,,,
North Carolina,7.85,(6.58 - 9.34),,,9.65,,(7.87 - 11.79),,,21.59,,,,(18.35 - 25.22),,,,5.37,,(4.10 - 7.00),,,,
North Dakota,6.25,(5.13 - 7.60),,,6.75,,(5.24 - 8.66),,,16.02,,,,(13.37 - 19.08),,,,4.12,,(3.02 - 5.58),,,,
Ohio,9.53,(8.78 - 10.34),,,9.83,,(8.79 - 10.99),,,22.06,,,,(20.43 - 23.79),,,,7.42,,(6.54 - 8.41),,,,
Oklahoma,8.36,(6.96 - 10.01),,,9.24,,(7.42 - 11.44),,,17.60,,,,(14.84 - 20.74),,,,6.59,,(5.07 - 8.51),,,,
Oregon,13.86,(11.97 - 16.00),,,11.73,,(9.74 - 14.06),,,27.79,,,,(24.49 - 31.35),,,,11.89,,(9.72 - 14.45),,,,
Pennsylvania,8.05,(7.28 - 8.90),,,8.89,,(7.85 - 10.05),,,19.58,,,,(17.93 - 21.34),,,,6.02,,(5.16 - 7.03),,,,
Rhode Island,15.61,(13.65 - 17.80),,,15.16,,(12.63 - 18.08),,,32.88,,,,(29.47 - 36.49),,,,12.33,,(10.09 - 14.99),,,,
South Carolina,8.90,(7.54 - 10.47),,,10.16,,(8.40 - 12.24),,,21.31,,,,(18.48 - 24.45),,,,6.64,,(5.21 - 8.42),,,,
South Dakota,7.01,(5.76 - 8.51),,,7.67,,(6.04 - 9.69),,,14.87,,,,(12.23 - 17.95),,,,5.57,,(4.26 - 7.24),,,,
Tennessee,7.13,(5.95 - 8.52),,,8.46,,(6.83 - 10.42),,,18.03,,,,(15.31 - 21.11),,,,5.17,,(3.97 - 6.72),,,,
Texas,7.05,(6.36 - 7.80),,,8.97,,(7.96 - 10.09),,,16.91,,,,(15.37 - 18.56),,,,4.91,,(4.15 - 5.80),,,,
Utah,6.01,(4.94 - 7.28),,,6.73,,(5.25 - 8.57),,,13.05,,,,(10.58 - 16.00),,,,4.25,,(3.18 - 5.66),,,,
Vermont,14.14,(12.35 - 16.14),,,15.46,,(12.99 - 18.30),,,33.32,,,,(29.87 - 36.96),,,,10.72,,(8.71 - 13.12),,,,
Virginia,7.46,(6.25 - 8.87),,,8.52,,(6.91 - 10.45),,,20.22,,,,(17.22 - 23.59),,,,5.15,,(3.95 - 6.70),,,,
Washington,11.92,(10.27 - 13.79),,,12.19,,(10.25 - 14.44),,,25.90,,,,(22.86 - 29.19),,,,9.57,,(7.73 - 11.79),,,,
West Virginia,6.99,(5.90 - 8.28),,,8.73,,(7.09 - 10.71),,,20.96,,,,(18.23 - 23.98),,,,4.73,,(3.60 - 6.19),,,,
Wisconsin,8.18,(6.83 - 9.77),,,9.68,,(7.86 - 11.88),,,19.98,,,,(16.99 - 23.36),,,,6.04,,(4.65 - 7.80),,,,
Wyoming,7.01,(5.79 - 8.48),,,8.04,,(6.41 - 10.05),,,14.99,,,,(12.42 - 17.99),,,,5.51,,(4.19 - 7.20),,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
